,instrument,status,order_id,order_price,order_time,size,direction,stop_loss,take_profit,reason,broker
2017-07-10 00:00:00+00:00,^NSEI,filled,1,9771.0498046875,2017-07-10 00:00:00+00:00,0.13,1,9622.799525669643,9919.300083705357,,virtual
2017-07-11 00:00:00+00:00,^NSEI,filled,3,9797.4502,2017-07-11 00:00:00+00:00,0.13,-1,,,,virtual
2017-07-11 00:00:00+00:00,^NSEI,cancelled,2,9797.4502,2017-07-11 00:00:00+00:00,0.13,-1,,,Linked order cancellation.,virtual
2017-08-17 00:00:00+00:00,^NSEI,filled,4,9904.150390625,2017-08-17 00:00:00+00:00,0.11,-1,10090.12890625,9718.171875,,virtual
2017-08-18 00:00:00+00:00,^NSEI,filled,5,10090.12891,2017-08-18 00:00:00+00:00,0.11,1,,,,virtual
2017-08-18 00:00:00+00:00,^NSEI,cancelled,6,9865.9502,2017-08-18 00:00:00+00:00,0.11,1,,,Linked order cancellation.,virtual
2017-09-11 00:00:00+00:00,^NSEI,filled,7,10006.0498046875,2017-09-11 00:00:00+00:00,0.13,1,9848.09946986607,10164.00013950893,,virtual
2017-09-12 00:00:00+00:00,^NSEI,filled,9,10056.84961,2017-09-12 00:00:00+00:00,0.13,-1,,,,virtual
2017-09-12 00:00:00+00:00,^NSEI,cancelled,8,10056.84961,2017-09-12 00:00:00+00:00,0.13,-1,,,Linked order cancellation.,virtual
2017-09-28 00:00:00+00:00,^NSEI,filled,10,9768.9501953125,2017-09-28 00:00:00+00:00,0.1,-1,9963.000418526786,9574.899972098214,,virtual
2017-09-29 00:00:00+00:00,^NSEI,filled,11,9963.00042,2017-09-29 00:00:00+00:00,0.1,1,,,,virtual
2017-09-29 00:00:00+00:00,^NSEI,cancelled,12,9814.2998,2017-09-29 00:00:00+00:00,0.1,1,,,Linked order cancellation.,virtual
2017-10-13 00:00:00+00:00,^NSEI,filled,13,10167.4501953125,2017-10-13 00:00:00+00:00,0.1,1,9965.29296875,10369.607421875,,virtual
2017-10-16 00:00:00+00:00,^NSEI,filled,15,10207.40039,2017-10-16 00:00:00+00:00,0.1,-1,,,,virtual
2017-10-16 00:00:00+00:00,^NSEI,cancelled,14,10207.40039,2017-10-16 00:00:00+00:00,0.1,-1,,,Linked order cancellation.,virtual
2017-12-01 00:00:00+00:00,^NSEI,filled,16,10121.7998046875,2017-12-01 00:00:00+00:00,0.12,-1,10290.492606026786,9953.107003348214,,virtual
2017-12-04 00:00:00+00:00,^NSEI,filled,17,10290.49261,2017-12-04 00:00:00+00:00,0.12,1,,,,virtual
2017-12-04 00:00:00+00:00,^NSEI,cancelled,18,10175.0498,2017-12-04 00:00:00+00:00,0.12,1,,,Linked order cancellation.,virtual
2018-02-09 00:00:00+00:00,^NSEI,filled,19,10454.9501953125,2018-02-09 00:00:00+00:00,0.06,-1,10774.82114955357,10135.07924107143,,virtual
2018-02-12 00:00:00+00:00,^NSEI,cancelled,20,10518.2002,2018-02-12 00:00:00+00:00,0.06,1,,,Linked order cancellation.,virtual
2018-02-12 00:00:00+00:00,^NSEI,filled,21,10518.2002,2018-02-12 00:00:00+00:00,0.06,1,,,,virtual
2018-04-11 00:00:00+00:00,^NSEI,filled,22,10417.150390625,2018-04-11 00:00:00+00:00,0.09,1,10198.979073660714,10635.321707589286,,virtual
2018-04-12 00:00:00+00:00,^NSEI,cancelled,23,10410.65039,2018-04-12 00:00:00+00:00,0.09,-1,,,Linked order cancellation.,virtual
2018-04-12 00:00:00+00:00,^NSEI,filled,24,10410.65039,2018-04-12 00:00:00+00:00,0.09,-1,,,,virtual
2018-06-08 00:00:00+00:00,^NSEI,filled,25,10767.650390625,2018-06-08 00:00:00+00:00,0.1,1,10554.214564732143,10981.086216517857,,virtual
2018-06-11 00:00:00+00:00,^NSEI,cancelled,26,10781.84961,2018-06-11 00:00:00+00:00,0.1,-1,,,Linked order cancellation.,virtual
2018-06-11 00:00:00+00:00,^NSEI,filled,27,10781.84961,2018-06-11 00:00:00+00:00,0.1,-1,,,,virtual
2018-07-04 00:00:00+00:00,^NSEI,filled,28,10769.900390625,2018-07-04 00:00:00+00:00,0.11,1,10577.05775669643,10962.74302455357,,virtual
2018-07-05 00:00:00+00:00,^NSEI,filled,30,10786.0498,2018-07-05 00:00:00+00:00,0.11,-1,,,,virtual
2018-07-05 00:00:00+00:00,^NSEI,cancelled,29,10786.0498,2018-07-05 00:00:00+00:00,0.11,-1,,,Linked order cancellation.,virtual
2018-07-05 00:00:00+00:00,^NSEI,filled,31,10749.75,2018-07-05 00:00:00+00:00,0.11,1,10559.593052455357,10939.906947544643,,virtual
2018-07-06 00:00:00+00:00,^NSEI,filled,34,10772.650390625,2018-07-06 00:00:00+00:00,0.11,1,10577.000697544643,10968.300083705357,,virtual
2018-07-06 00:00:00+00:00,^NSEI,cancelled,32,10744.15039,2018-07-06 00:00:00+00:00,0.11,-1,,,Linked order cancellation.,virtual
2018-07-06 00:00:00+00:00,^NSEI,filled,33,10744.15039,2018-07-06 00:00:00+00:00,0.11,-1,,,,virtual
2018-07-09 00:00:00+00:00,^NSEI,filled,37,10852.900390625,2018-07-09 00:00:00+00:00,0.11,1,10658.815011160714,11046.985770089286,,virtual
2018-07-09 00:00:00+00:00,^NSEI,filled,36,10838.2998,2018-07-09 00:00:00+00:00,0.11,-1,,,,virtual
2018-07-09 00:00:00+00:00,^NSEI,cancelled,35,10838.2998,2018-07-09 00:00:00+00:00,0.11,-1,,,Linked order cancellation.,virtual
2018-07-10 00:00:00+00:00,^NSEI,filled,39,10902.75,2018-07-10 00:00:00+00:00,0.11,-1,,,,virtual
2018-07-10 00:00:00+00:00,^NSEI,cancelled,38,10902.75,2018-07-10 00:00:00+00:00,0.11,-1,,,Linked order cancellation.,virtual
