,order_time,order_price,order_type,fill_time,fill_price,direction,size,fee,instrument,id,order_id,broker
2017-07-11 00:00:00+00:00,2017-07-10 00:00:00+00:00,9771.0498046875,market,2017-07-11 00:00:00+00:00,9797.4502,1,0.13,0.0,^NSEI,1,1,virtual
2017-07-17 00:00:00+00:00,2017-07-11 00:00:00+00:00,9797.4502,limit,2017-07-17 00:00:00+00:00,9919.30008,-1,0.13,0.0,^NSEI,2,3,virtual
2017-08-18 00:00:00+00:00,2017-08-17 00:00:00+00:00,9904.150390625,market,2017-08-18 00:00:00+00:00,9865.9502,-1,0.11,0.0,^NSEI,3,4,virtual
2017-09-12 00:00:00+00:00,2017-08-18 00:00:00+00:00,10090.12891,market,2017-09-12 00:00:00+00:00,10090.12891,1,0.11,0.0,^NSEI,4,5,virtual
2017-09-12 00:00:00+00:00,2017-09-11 00:00:00+00:00,10006.0498046875,market,2017-09-12 00:00:00+00:00,10056.84961,1,0.13,0.0,^NSEI,5,7,virtual
2017-09-18 00:00:00+00:00,2017-09-12 00:00:00+00:00,10056.84961,limit,2017-09-18 00:00:00+00:00,10164.00014,-1,0.13,0.0,^NSEI,6,9,virtual
2017-09-29 00:00:00+00:00,2017-09-28 00:00:00+00:00,9768.9501953125,market,2017-09-29 00:00:00+00:00,9814.2998,-1,0.1,0.0,^NSEI,7,10,virtual
2017-10-06 00:00:00+00:00,2017-09-29 00:00:00+00:00,9963.00042,market,2017-10-06 00:00:00+00:00,9963.00042,1,0.1,0.0,^NSEI,8,11,virtual
2017-10-16 00:00:00+00:00,2017-10-13 00:00:00+00:00,10167.4501953125,market,2017-10-16 00:00:00+00:00,10207.40039,1,0.1,0.0,^NSEI,9,13,virtual
2017-10-30 00:00:00+00:00,2017-10-16 00:00:00+00:00,10207.40039,limit,2017-10-30 00:00:00+00:00,10369.60742,-1,0.1,0.0,^NSEI,10,15,virtual
2017-12-04 00:00:00+00:00,2017-12-01 00:00:00+00:00,10121.7998046875,market,2017-12-04 00:00:00+00:00,10175.0498,-1,0.12,0.0,^NSEI,11,16,virtual
2017-12-11 00:00:00+00:00,2017-12-04 00:00:00+00:00,10290.49261,market,2017-12-11 00:00:00+00:00,10290.49261,1,0.12,0.0,^NSEI,12,17,virtual
2018-02-12 00:00:00+00:00,2018-02-09 00:00:00+00:00,10454.9501953125,market,2018-02-12 00:00:00+00:00,10518.2002,-1,0.06,0.0,^NSEI,13,19,virtual
2018-03-19 00:00:00+00:00,2018-02-12 00:00:00+00:00,10518.2002,limit,2018-03-19 00:00:00+00:00,10135.07924,1,0.06,0.0,^NSEI,14,21,virtual
2018-04-12 00:00:00+00:00,2018-04-11 00:00:00+00:00,10417.150390625,market,2018-04-12 00:00:00+00:00,10410.65039,1,0.09,0.0,^NSEI,15,22,virtual
2018-04-23 00:00:00+00:00,2018-04-12 00:00:00+00:00,10410.65039,limit,2018-04-23 00:00:00+00:00,10635.32171,-1,0.09,0.0,^NSEI,16,24,virtual
2018-06-11 00:00:00+00:00,2018-06-08 00:00:00+00:00,10767.650390625,market,2018-06-11 00:00:00+00:00,10781.84961,1,0.1,0.0,^NSEI,17,25,virtual
2018-07-05 00:00:00+00:00,2018-07-04 00:00:00+00:00,10769.900390625,market,2018-07-05 00:00:00+00:00,10786.0498,1,0.11,0.0,^NSEI,18,28,virtual
2018-07-06 00:00:00+00:00,2018-07-05 00:00:00+00:00,10749.75,market,2018-07-06 00:00:00+00:00,10744.15039,1,0.11,0.0,^NSEI,19,31,virtual
2018-07-09 00:00:00+00:00,2018-07-06 00:00:00+00:00,10772.650390625,market,2018-07-09 00:00:00+00:00,10838.2998,1,0.11,0.0,^NSEI,20,34,virtual
2018-07-10 00:00:00+00:00,2018-07-06 00:00:00+00:00,10744.15039,limit,2018-07-10 00:00:00+00:00,10939.90695,-1,0.11,0.0,^NSEI,21,33,virtual
2018-07-10 00:00:00+00:00,2018-07-09 00:00:00+00:00,10852.900390625,market,2018-07-10 00:00:00+00:00,10902.75,1,0.11,0.0,^NSEI,22,37,virtual
2018-07-11 00:00:00+00:00,2018-07-05 00:00:00+00:00,10786.0498,limit,2018-07-11 00:00:00+00:00,10962.74302,-1,0.11,0.0,^NSEI,23,30,virtual
2018-07-11 00:00:00+00:00,2018-07-09 00:00:00+00:00,10838.2998,limit,2018-07-11 00:00:00+00:00,10968.30008,-1,0.11,0.0,^NSEI,24,36,virtual
2018-07-12 00:00:00+00:00,2018-06-11 00:00:00+00:00,10781.84961,limit,2018-07-12 00:00:00+00:00,10981.08622,-1,0.1,0.0,^NSEI,25,27,virtual
